PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS
136,10,Alshon Jeffery,FA,3.4
137,10,Cornell Powell,KC,0
138,10,Auden Tate,CIN,3.2
139,10,Anthony Schwartz,CLE,0
140,10,Cam Sims,WAS,5.4
141,10,David Moore,CAR,7.4
142,10,Chris Conley,HOU,6.5
143,10,Dazz Newsome,CHI,0
144,10,Ihmir Smith-Marsette,MIN,0
145,10,Willie Snead IV,LV,7.2
146,10,Olabisi Johnson,MIN,2.2
147,11,Devin Funchess,GB,0
148,11,Kenny Stills,BUF,3.1
149,11,Equanimeous St. Brown,GB,2.1
150,11,Damiere Byrd,CHI,7.2
151,11,Simi Fehoko,DAL,0
152,11,Shi Smith,CAR,0
153,11,Richie James Jr.,SF,5.9
154,11,Jaelon Darden,TB,0
155,11,Frank Darby,ATL,0
156,11,Lil'Jordan Humphrey,NO,4.5
157,11,Isaiah McKenzie,BUF,6.2
158,11,Braxton Berrios,NYJ,6.1
159,11,Kelvin Harmon,WAS,0
160,11,Seth Williams,DEN,0
161,11,Freddie Swain,SEA,2.6
162,11,Mohamed Sanu,SF,4.4
163,11,Quez Watkins,PHI,3.9
164,11,Demetric Felton,CLE,0
165,11,Marquez Stevenson,BUF,0
166,11,Sage Surratt,DET,0
167,11,Cedrick Wilson,DAL,3.2
168,11,J.J. Arcega-Whiteside,PHI,1.8
169,11,John Hightower,PHI,2.2
170,11,Antonio Callaway,KC,0.8
171,11,Jakeem Grant Sr.,MIA,6.2
172,11,Chad Beebe,MIN,3.6
173,11,Zay Jones,LV,2.3
174,11,Marquise Goodwin,CHI,0
175,11,Geronimo Allison,DET,0
176,11,Tajae Sharpe,ATL,0
177,11,Albert Wilson,MIA,0
178,11,Kalif Raymond,DET,1.8
179,11,Ray-Ray McCloud,PIT,2
180,11,KeeSean Johnson,ARI,4
181,11,Javon Wims,CHI,1.3
182,11,Gunner Olszewski,NE,2
183,12,Isaiah Coulter,HOU,0
184,12,Cade Johnson,SEA,0
185,12,Phillip Dorsett II,JAC,0
186,12,Cameron Batson,TEN,2.5
187,12,Chad Hansen,DET,9.3
188,12,Juwan Johnson,NO,1.1
189,12,Christian Blake,ATL,1.7
190,12,Alex Erickson,HOU,1.4
191,12,Riley Ridley,CHI,1.6
192,12,Noah Brown,DAL,1.9
193,12,K.J. Hill Jr.,LAC,0.8
194,12,Jake Kumerow,BUF,1.5
195,12,Trishton Jackson,LAR,0
196,12,Penny Hart,SEA,0.2
197,12,Jamal Agnew,JAC,1.3
198,12,KhaDarel Hodge,CLE,3.2
199,12,Nick Westbrook-Ikhine,TEN,0.6
200,12,Dante Pettis,NYG,2.2
201,12,Justin Watson,TB,1.5
202,12,Trent Taylor,CIN,1.6
203,12,Mike Strachan,IND,0
204,12,Mike Thomas,CIN,2.2
205,12,Andre Roberts,HOU,0.2
206,12,John Ursua,SEA,0
207,12,Devin Smith,NE,0
208,12,Chester Rogers,TEN,0
209,12,Marvin Hall,NE,5
210,12,River Cracraft,SF,1.1
211,12,Trey Quinn,LV,0
212,12,Racey McMath,TEN,0
213,12,Joe Reed,LAC,0.8
214,12,Laquon Treadwell,JAC,4.6
215,12,Mack Hollins,MIA,2.4
216,12,DeMichael Harris,IND,3.2
217,12,Isaiah Zuber,NE,1.8
218,12,Chris Rowland,ATL,0
219,12,Ben Skowronek,LAR,0
220,12,K.J. Osborn,MIN,0
221,12,Dez Bryant,FA,3.8
222,12,Tyrie Cleveland,DEN,1.2
223,12,Chris Finke,KC,0
224,12,Marcus Kemp,KC,0.2
225,12,Austin Watkins Jr.,SF,0
226,12,Jaydon Mickens,TB,1.3
227,13,Ashton Dulin,IND,0.7
228,13,Chad Williams,KC,0
229,13,Diontae Spencer,DEN,1.2
230,13,Stanley Morgan Jr.,CIN,0
231,13,Trent Sherfield,SF,0.7
232,13,Brandon Powell,BUF,2
233,13,Isaiah Wright,WAS,3.3
234,13,Whop Philyor,MIN,0
235,13,T.J. Vasher,DAL,0
236,13,Marcus Johnson,TEN,3.6
237,13,C.J. Board,NYG,1.5
238,13,Juwann Winfree,GB,0
239,13,Kawaan Baker,NO,0
240,13,Blake Proehl,MIN,0
241,13,Brandon Zylstra,CAR,0.4
242,13,Vyncint Smith,NYJ,0.3
243,13,Rico Bussey,PIT,0
