PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"1",1,"Justin Jefferson",MIN,"19.4","9.8","6.4","95.1","0.6","0.4","0.8","0.0"
"2",1,"Cooper Kupp",LAR,"25.9","11.2","8.5","114.5","0.9","0.2","1.1","0.0"
"3",1,"Ja'Marr Chase",CIN,"17.9","7.5","4.8","85.6","0.8","0.4","1.2","0.0"
"4",1,"Stefon Diggs",BUF,"16.8","9.6","6.1","72.1","0.6","0.0","0.0","0.0"
"5",2,"Davante Adams",LV,"21.5","10.6","7.7","97.1","0.7","0.0","0.0","0.0"
"6",2,"CeeDee Lamb",DAL,"14.6","7.5","4.9","68.9","0.4","0.6","4.8","0.0"
"7",2,"Tyreek Hill",MIA,"17.4","9.4","6.5","72.9","0.5","0.5","5.6","0.0"
"8",2,"Mike Evans",TB,"16.4","7.1","4.6","64.7","0.9","0.1","0.6","0.0"
"9",2,"Keenan Allen",LAC,"16.1","9.8","6.6","71.1","0.4","0.0","0.0","0.0"
"10",3,"Michael Pittman Jr.",IND,"14.0","7.6","5.2","63.6","0.4","0.3","2.6","0.0"
"11",3,"Deebo Samuel",SF,"21.2","7.6","4.8","87.8","0.4","3.7","22.8","0.5"
"12",3,"A.J. Brown",PHI,"13.9","8.1","4.8","66.8","0.4","0.2","0.8","0.0"
"13",3,"Tee Higgins",CIN,"15.7","7.9","5.3","77.9","0.4","0.0","0.0","0.0"
"14",3,"DJ Moore",CAR,"14.0","9.6","5.5","68.1","0.2","0.5","2.8","0.0"
"15",3,"Diontae Johnson",PIT,"17.1","10.6","6.7","72.6","0.5","0.3","3.3","0.0"
"16",3,"Jaylen Waddle",MIA,"15.4","8.8","6.5","63.4","0.4","0.1","0.2","0.1"
"17",3,"Mike Williams",LAC,"15.4","8.1","4.8","71.6","0.6","0.0","0.0","0.0"
"18",3,"Courtland Sutton",DEN,"8.8","5.8","3.4","45.6","0.1","0.0","0.0","0.0"
"19",4,"Terry McLaurin",WAS,"12.6","7.6","4.5","61.9","0.3","0.1","0.7","0.0"
"20",4,"Brandin Cooks",HOU,"14.5","8.4","5.6","64.8","0.4","0.1","1.3","0.0"
"21",4,"Allen Robinson II",LAR,"7.3","5.5","3.2","34.2","0.1","0.0","0.0","0.0"
"22",4,"DK Metcalf",SEA,"14.4","7.6","4.4","56.9","0.7","0.1","0.4","0.0"
"23",4,"Marquise Brown",ARI,"14.1","9.1","5.7","63.0","0.4","0.1","0.3","0.0"
"24",4,"Darnell Mooney",CHI,"12.9","8.2","4.8","62.1","0.2","0.4","1.9","0.1"
"25",4,"Amon-Ra St. Brown",DET,"14.2","7.4","5.6","57.0","0.3","0.4","3.8","0.1"
"26",4,"Michael Thomas",NO,"0","0","0","0","0","0","0","0"
"27",4,"Rashod Bateman",BAL,"8.6","5.7","3.8","42.9","0.1","0.0","0.0","0.0"
"28",4,"Jerry Jeudy",DEN,"8.5","5.6","3.8","46.7","0.0","0.2","0.3","0.0"
"29",4,"Chris Godwin",TB,"17.3","9.1","7.0","78.8","0.4","0.3","1.5","0.1"
"30",5,"JuJu Smith-Schuster",KC,"7.0","5.6","3.0","25.8","0.0","0.6","1.8","0.2"
"31",5,"Amari Cooper",CLE,"13.5","6.9","4.5","57.7","0.5","0.0","0.0","0.0"
"32",5,"Gabriel Davis",BUF,"8.4","4.2","2.3","36.6","0.4","0.0","0.0","0.0"
"33",5,"Elijah Moore",NYJ,"12.6","7.0","3.9","48.9","0.5","0.5","4.9","0.1"
"34",5,"Adam Thielen",MIN,"15.4","7.3","5.2","55.8","0.8","0.1","0.2","0.0"
"35",5,"Hunter Renfrow",LV,"15.2","7.5","6.1","61.1","0.5","0.2","0.2","0.0"
"36",5,"Brandon Aiyuk",SF,"10.0","4.9","3.3","48.6","0.3","0.3","1.0","0.0"
"37",5,"DeVonta Smith",PHI,"10.9","6.1","3.8","53.9","0.3","0.0","0.0","0.0"
"38",5,"Christian Kirk",JAC,"12.2","6.1","4.5","57.8","0.3","0.1","0.6","0.0"
"39",5,"Drake London",ATL,"0","0","0","0","0","0","0","0"
"40",5,"Allen Lazard",GB,"10.2","4.3","2.9","36.6","0.6","0.2","2.3","0.0"
"41",5,"Tyler Lockett",SEA,"15.1","6.7","4.6","73.4","0.5","0.1","0.6","0.0"
"42",6,"Robert Woods",TEN,"15.2","7.7","5.0","61.8","0.4","0.9","5.1","0.1"
"43",6,"DeAndre Hopkins",ARI,"14.7","6.4","4.2","57.2","0.8","0.0","0.0","0.0"
"44",6,"Kadarius Toney",NYG,"9.2","6.3","4.3","46.7","0.0","0.3","0.7","0.0"
"45",6,"Chris Olave",NO,"0","0","0","0","0","0","0","0"
"46",6,"Chase Claypool",PIT,"11.1","7.0","3.9","57.3","0.1","0.9","6.4","0.0"
"47",6,"Tyler Boyd",CIN,"11.5","5.9","4.2","51.8","0.3","0.1","1.4","0.0"
"48",6,"Jakobi Meyers",NE,"11.6","7.9","5.2","54.1","0.1","0.1","0.6","0.0"
"49",6,"Treylon Burks",TEN,"0","0","0","0","0","0","0","0"
"50",6,"Garrett Wilson",NYJ,"0","0","0","0","0","0","0","0"
"51",6,"Russell Gage",TB,"12.5","7.2","5.1","59.2","0.3","0.0","0.0","0.0"
"52",6,"Skyy Moore",KC,"0","0","0","0","0","0","0","0"
"53",6,"George Pickens",PIT,"0","0","0","0","0","0","0","0"
"54",6,"Rondale Moore",ARI,"7.8","4.6","3.9","31.1","0.1","1.3","5.4","0.0"
"55",6,"Marquez Valdes-Scantling",KC,"7.9","5.0","2.4","39.1","0.3","0.0","0.0","0.0"
"56",6,"DeVante Parker",NE,"10.3","7.3","4.0","51.5","0.2","0.0","0.0","0.0"
"57",6,"Michael Gallup",DAL,"10.2","6.9","3.9","49.4","0.2","0.0","0.0","0.0"
"58",6,"Jarvis Landry",NO,"11.1","7.3","4.3","47.5","0.2","0.5","3.3","0.2"
"59",7,"Jahan Dotson",WAS,"0","0","0","0","0","0","0","0"
"60",7,"DJ Chark Jr.",DET,"11.5","7.3","2.3","51.3","0.7","0.0","0.0","0.0"
"61",7,"Julio Jones",TB,"8.0","4.8","3.1","43.4","0.1","0.0","0.0","0.0"
"62",7,"Nico Collins",HOU,"6.0","4.3","2.4","31.9","0.1","0.0","0.0","0.0"
"63",7,"Kenny Golladay",NYG,"6.4","5.4","2.6","37.2","0.0","0.0","0.0","0.0"
"64",7,"Joshua Palmer",LAC,"6.2","3.3","2.2","23.5","0.3","0.1","0.4","0.0"
"65",7,"Robbie Anderson",CAR,"8.1","6.5","3.1","30.5","0.3","0.2","2.1","0.0"
"66",7,"K.J. Osborn",MIN,"9.3","4.8","2.9","38.5","0.4","0.1","0.6","0.0"
"67",7,"Jalen Tolbert",DAL,"0","0","0","0","0","0","0","0"
"68",7,"Mecole Hardman",KC,"8.3","4.9","3.5","40.8","0.1","0.5","2.7","0.0"
"69",7,"Corey Davis",NYJ,"11.7","6.6","3.8","54.7","0.4","0.0","0.0","0.0"
"70",7,"Marvin Jones Jr.",JAC,"10.6","7.1","4.3","48.9","0.2","0.0","0.0","0.0"
"71",7,"Van Jefferson",LAR,"9.9","5.2","2.9","47.2","0.4","0.1","1.2","0.0"
"72",7,"Christian Watson",GB,"0","0","0","0","0","0","0","0"
"73",7,"Wan'Dale Robinson",NYG,"0","0","0","0","0","0","0","0"
"74",7,"Jameson Williams",DET,"0","0","0","0","0","0","0","0"
"75",7,"Isaiah McKenzie",BUF,"3.5","1.7","1.3","11.9","0.1","0.6","3.1","0.1"
"76",7,"Parris Campbell",IND,"5.4","3.3","1.7","27.0","0.2","0.0","0.0","0.0"
"77",7,"KJ Hamler",DEN,"4.1","3.3","1.7","24.7","0.0","0.0","0.0","0.0"
"78",7,"Jamison Crowder",BUF,"9.1","5.9","4.3","37.3","0.2","0.0","0.0","0.0"
"79",7,"Alec Pierce",IND,"0","0","0","0","0","0","0","0"
"80",7,"Curtis Samuel",WAS,"2.0","1.8","1.2","5.4","0.0","0.8","2.2","0.0"
"81",7,"Donovan Peoples-Jones",CLE,"7.8","4.1","2.4","42.6","0.2","0.0","0.0","0.0"
"82",8,"David Bell",CLE,"0","0","0","0","0","0","0","0"
"83",8,"Sterling Shepard",NYG,"11.1","7.6","5.1","52.3","0.1","0.1","-1.3","0.0"
"84",8,"Kendrick Bourne",NE,"10.6","4.1","3.2","47.1","0.3","0.7","7.4","0.0"
"85",8,"A.J. Green",ARI,"9.8","5.8","3.4","53.0","0.2","0.0","0.0","0.0"
"86",8,"Zay Jones",JAC,"7.1","4.7","3.1","36.4","0.1","0.1","0.2","0.0"
"87",8,"Romeo Doubs",GB,"0","0","0","0","0","0","0","0"
"88",8,"Terrace Marshall Jr.",CAR,"2.7","2.5","1.4","11.5","0.0","0.0","0.0","0.0"
"89",8,"Braxton Berrios",NYJ,"7.6","4.1","2.9","26.9","0.1","0.4","2.5","0.1"
"90",8,"Laviska Shenault Jr.",CAR,"7.9","6.3","3.9","38.7","0.0","0.7","2.6","0.0"
"91",8,"Byron Pringle",CHI,"7.9","3.8","2.6","35.5","0.3","0.0","0.0","0.0"
"92",8,"Randall Cobb",GB,"8.5","3.5","2.5","34.1","0.5","0.1","0.1","0.0"
"93",8,"Sammy Watkins",GB,"6.4","4.5","2.5","35.8","0.1","0.0","0.0","0.0"
"94",8,"Bryan Edwards",ATL,"6.8","3.7","2.1","35.7","0.2","0.1","0.0","0.0"
"95",8,"Cedrick Wilson Jr.",MIA,"10.6","4.4","3.2","43.0","0.4","0.1","0.8","0.0"
"96",8,"Nelson Agholor",NE,"6.9","4.3","2.5","31.5","0.2","0.2","0.7","0.0"
"97",8,"Marquez Callaway",NO,"8.9","4.9","2.7","41.1","0.4","0.0","0.0","0.0"
"98",8,"Quez Watkins",PHI,"6.8","3.6","2.5","38.1","0.1","0.1","0.2","0.0"
"99",8,"Josh Reynolds",DET,"7.3","4.5","2.6","36.0","0.2","0.0","0.0","0.0"
"100",8,"Darius Slayton",NYG,"5.3","4.5","2.0","26.1","0.2","0.1","-1.0","0.0"
"101",8,"Tre'Quan Smith",NO,"8.8","5.0","3.2","37.7","0.3","0.0","0.0","0.0"
"102",8,"Jalen Reagor",MIN,"4.6","3.4","1.9","17.6","0.1","0.6","1.9","0.0"
"103",9,"Velus Jones Jr.",CHI,"0","0","0","0","0","0","0","0"
"104",9,"Quintez Cephus",DET,"9.9","4.4","3.0","40.8","0.4","0.0","0.0","0.0"
"105",9,"Dyami Brown",WAS,"2.8","2.5","1.2","16.5","0.0","0.1","-0.4","0.0"
"106",9,"Nick Westbrook-Ikhine",TEN,"7.2","3.8","2.5","31.7","0.3","0.0","0.0","0.0"
"107",9,"William Fuller V",FA,"4.3","4.0","2.0","13.0","0.0","0.0","0.0","0.0"
"108",9,"Devin Duvernay",BAL,"4.8","2.9","2.1","17.0","0.1","0.4","3.1","0.0"
"109",9,"Odell Beckham Jr.",FA,"9.2","5.9","3.1","38.4","0.4","0.1","1.0","0.0"
"110",9,"Kyle Philips",TEN,"0","0","0","0","0","0","0","0"
"111",9,"Khalil Shakir",BUF,"0","0","0","0","0","0","0","0"
"112",9,"James Proche II",BAL,"5.2","2.9","2.3","28.9","0.0","0.0","0.0","0.0"
"113",9,"Jalen Guyton",LAC,"6.1","3.0","1.9","28.0","0.2","0.4","2.1","0.0"
"114",9,"Emmanuel Sanders",FA,"9.4","5.1","3.0","44.7","0.3","0.1","2.2","0.0"
"115",9,"Amari Rodgers",GB,"0.6","0.5","0.3","2.8","0.0","0.1","0.7","0.0"
"116",9,"Demarcus Robinson",BAL,"4.6","2.7","1.7","17.6","0.2","0.0","0.0","0.0"
"117",9,"Calvin Austin III",PIT,"0","0","0","0","0","0","0","0"
"118",9,"Tyquan Thornton",NE,"0","0","0","0","0","0","0","0"
"119",9,"Cole Beasley",FA,"10.0","7.0","5.1","43.3","0.1","0.0","0.0","0.0"
"120",9,"Olamide Zaccheaus",ATL,"6.0","3.5","2.1","27.1","0.2","0.1","0.1","0.0"
"121",9,"Danny Gray",SF,"0","0","0","0","0","0","0","0"
"122",10,"James Washington",DAL,"4.4","2.9","1.6","19.0","0.1","0.1","0.9","0.0"
"123",10,"Rashard Higgins",CAR,"4.8","3.9","2.0","22.9","0.1","0.0","0.0","0.0"
"124",10,"T.Y. Hilton",FA,"7.4","3.7","2.3","33.1","0.3","0.0","0.0","0.0"
"125",10,"Equanimeous St. Brown",CHI,"1.7","1.4","0.8","8.2","0.0","0.3","1.2","0.0"
