"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"82",8,"Chase Claypool",CHI,"105","79","46","451","1","9","59","0"
"83",8,"Jalin Hyatt",NYG,"0","0","0","0","0","0","0","0"
"84",8,"Wan'Dale Robinson",NYG,"51.6","31","23","227","1","2","-1","0"
"85",8,"Joshua Palmer",LAC,"169.3","107","72","769","3","1","4","0"
"86",8,"Mecole Hardman Jr.",NYJ,"93.8","34","25","297","4","4","31","2"
"87",8,"Allen Robinson II",PIT,"84.9","52","33","339","3","0","0","0"
"88",8,"Josh Downs",IND,"0","0","0","0","0","0","0","0"
"89",8,"Tyquan Thornton",NE,"66.3","45","22","247","2","3","16","1"
"90",8,"Richie James Jr.",KC,"132.5","70","57","569","4","2","6","0"
"91",8,"Terrace Marshall Jr.",CAR,"83","47","28","490","1","0","0","0"
"92",8,"Marvin Jones Jr.",DET,"116.9","81","46","529","3","0","0","0"
"93",8,"Mack Hollins",ATL,"154.2","94","57","690","4","4","40","0"
"94",8,"Khalil Shakir",BUF,"34.1","20","10","161","1","0","0","0"
"95",8,"Sterling Shepard",NYG,"34.4","24","13","154","1","0","0","0"
"96",8,"Tank Dell",HOU,"0","0","0","0","0","0","0","0"
"97",8,"Josh Reynolds",DET,"103.9","59","38","479","3","0","0","0"
"98",9,"Kendrick Bourne",NE,"88.3","48","35","434","1","6","39","0"
"99",9,"Laviska Shenault Jr.",CAR,"72.7","32","27","272","1","9","65","1"
"100",9,"Quez Watkins",PHI,"84.5","51","33","354","3","3","1","0"
"101",9,"Isaiah McKenzie",IND,"119.8","66","42","423","4","9","55","1"
"102",9,"Cedric Tillman",CLE,"0","0","0","0","0","0","0","0"
"103",9,"Puka Nacua",LAR,"0","0","0","0","0","0","0","0"
"104",9,"Nick Westbrook-Ikhine",TEN,"82.7","50","25","397","3","0","0","0"
"105",9,"Devin Duvernay",BAL,"116.1","49","37","407","3","12","84","1"
"106",9,"Braxton Berrios",MIA,"57.7","32","18","145","0","9","91","2"
"107",9,"Michael Wilson",ARI,"0","0","0","0","0","0","0","0"
"108",9,"Kayshon Boutte",NE,"0","0","0","0","0","0","0","0"
"109",9,"Justyn Ross",KC,"0","0","0","0","0","0","0","0"
"110",9,"David Bell",CLE,"45.4","35","24","214","0","0","0","0"
"111",9,"Russell Gage",TB,"123.6","70","51","426","5","0","0","0"
"112",9,"Greg Dortch",ARI,"113.1","64","52","467","2","7","44","0"
"113",9,"Nelson Agholor",BAL,"75.2","53","31","362","2","0","0","0"
"114",10,"Kyle Philips",TEN,"11.8","13","8","78","0","0","0","0"
"115",10,"Robbie Chosen",MIA,"52.2","44","20","282","1","0","0","0"
"116",10,"Tutu Atwell",LAR,"63.2","35","18","298","1","9","34","1"
"117",10,"Deonte Harty",BUF,"1.3","2","2","13","0","0","0","0"
"118",10,"Xavier Hutchinson",HOU,"0","0","0","0","0","0","0","0"
"119",10,"Ben Skowronek",LAR,"84.3","61","39","376","0","1","17","1"
"120",10,"KJ Hamler",FA,"25.8","14","7","165","0","2","23","0"
"121",10,"Noah Brown",HOU,"114.5","74","43","555","3","0","0","0"
"122",10,"A.T. Perry",NO,"0","0","0","0","0","0","0","0"
"123",10,"Jauan Jennings",SF,"82.6","56","35","416","1","0","0","0"
"124",10,"Jalen Tolbert",DAL,"3.2","3","2","12","0","0","0","0"
"125",10,"Jamison Crowder",NYG,"12","13","6","60","0","0","0","0"
"126",10,"Tyler Scott",CHI,"0","0","0","0","0","0","0","0"
"127",10,"Trent Sherfield",BUF,"83.7","51","30","417","2","0","0","0"
"128",10,"Calvin Austin III",PIT,"0","0","0","0","0","0","0","0"
"129",10,"Randall Cobb",NYJ,"81.7","50","34","417","1","0","0","0"
"130",10,"Trey Palmer",TB,"0","0","0","0","0","0","0","0"
"131",10,"Marquez Callaway",DEN,"37.8","32","16","158","1","0","0","0"
"132",10,"Olamide Zaccheaus",PHI,"110","61","40","533","3","2","7","0"
"133",10,"Kalif Raymond",DET,"116.2","64","47","616","0","7","36","0"
"134",10,"Cedrick Wilson Jr.",MIA,"26.4","18","12","136","0","1","8","0"
"135",10,"Justin Watson",KC,"58.5","34","15","315","2","0","0","0"
"136",10,"Chris Moore",TEN,"115.1","74","48","548","2","3","3","0"
"137",10,"Charlie Jones",CIN,"0","0","0","0","0","0","0","0"
"138",10,"Dyami Brown",WAS,"32.8","14","5","143","2","1","15","0"
"139",10,"Jarvis Landry",FA,"60.2","39","25","272","1","0","0","0"
"140",10,"Demarcus Robinson",LAR,"103.8","75","48","458","2","0","0","0"
"141",10,"Demario Douglas",NE,"0","0","0","0","0","0","0","0"
"142",10,"Jamal Agnew",JAC,"72.3","30","23","187","3","12","86","0"
"143",10,"Parker Washington",JAC,"0","0","0","0","0","0","0","0"
"144",10,"Samori Toure",GB,"19.2","10","5","82","1","0","0","0"
"145",10,"Tre'Quan Smith",NO,"52.8","27","19","278","1","0","0","0"
"146",11,"Julio Jones",FA,"70.4","43","24","299","2","5","45","0"
"147",11,"DeAndre Carter",LV,"112.3","65","46","538","3","2","-15","0"
"148",11,"Dontayvion Wicks",GB,"0","0","0","0","0","0","0","0"
"149",11,"Scott Miller",ATL,"42.3","40","23","185","0","1","8","0"
"150",11,"Zach Pascal",ARI,"36","19","15","150","1","1","0","0"
"151",11,"Trenton Irwin",CIN,"63.2","23","15","231","4","1","11","0"
"152",11,"Marquise Goodwin",CLE,"90.2","42","27","387","4","2","5","0"
"153",11,"Denzel Mims",FA,"29.6","25","11","186","0","0","0","0"
"154",11,"Andrei Iosivas",CIN,"0","0","0","0","0","0","0","0"
"155",11,"Velus Jones Jr.",CHI,"34","14","7","107","1","9","103","1"
"156",11,"Demetric Felton Jr.",CLE,"0","4","2","8","0","1","-4","0"
"157",11,"Tre Tucker",LV,"0","0","0","0","0","0","0","0"
"158",11,"Shi Smith",CAR,"61.6","41","22","296","2","0","0","0"
"159",11,"Danny Gray",SF,"2.9","7","1","10","0","1","9","0"
"160",11,"Jalen Nailor",MIN,"32.9","13","9","179","1","0","0","0"
"161",11,"KhaDarel Hodge",ATL,"41.2","20","13","202","1","0","0","0"
"162",11,"Equanimeous St. Brown",CHI,"64.7","38","21","323","1","6","54","0"
"163",11,"Jalen Guyton",LAC,"8.4","4","2","64","0","0","0","0"
"164",11,"Kenny Golladay",FA,"20.1","17","6","81","1","0","0","0"
"165",11,"Justin Shorter",BUF,"0","0","0","0","0","0","0","0"
"166",11,"Jalen Reagor",MIN,"26.9","13","8","104","1","4","25","0"
"167",11,"Brandon Powell",MIN,"47.6","32","24","156","0","17","80","0"
"168",11,"Byron Pringle",WAS,"35.5","16","10","135","2","0","0","0"
"169",11,"Ashton Dulin",IND,"42.5","22","15","207","1","2","8","0"
"170",11,"Ray-Ray McCloud III",SF,"58.1","25","14","243","1","4","78","1"
"171",12,"Dee Eskridge",SEA,"13.8","13","7","58","0","2","10","0"
"172",12,"Erik Ezukanma",MIA,"1.3","1","1","3","0","0","0","0"
"173",12,"Deven Thompkins",TB,"10.8","10","5","32","0","2","26","0"
"174",12,"Kendall Hinton",DEN,"56.4","33","24","311","0","2","13","0"
"175",12,"David Moore",TB,"0","0","0","0","0","0","0","0"
"176",12,"Tylan Wallace",BAL,"7.3","7","4","33","0","0","0","0"
"177",12,"Cam Sims",LV,"16.9","18","8","89","0","0","0","0"
"178",12,"Phillip Dorsett II",LV,"51.7","40","20","257","1","0","0","0"
"179",12,"Racey McMath",TEN,"6.4","8","2","40","0","1","4","0"
"180",12,"N'Keal Harry",FA,"24.6","9","7","116","1","0","0","0"
"181",12,"James Proche II",BAL,"13.2","17","8","62","0","0","0","0"
"182",12,"Bryce Ford-Wheaton",NYG,"0","0","0","0","0","0","0","0"
"183",12,"KaVontae Turpin",DAL,"-0.4","2","1","9","0","3","17","0"
"184",12,"Sammy Watkins",FA,"46.5","27","16","325","0","0","0","0"
"185",12,"Derius Davis",LAC,"0","0","0","0","0","0","0","0"
"186",12,"Quintez Cephus",DET,"3.5","3","2","15","0","0","0","0"
"187",12,"Anthony Schwartz",CLE,"18.8","10","4","51","0","4","57","1"
"188",12,"Amari Rodgers",IND,"39.1","25","16","204","1","2","7","0"
"189",12,"Dareke Young",SEA,"4.4","2","2","24","0","0","0","0"
"190",12,"Mike Strachan",IND,"8.9","9","3","59","0","0","0","0"
"191",12,"Montrell Washington",DEN,"5.2","9","4","2","0","5","30","0"
"192",12,"Jalen Brooks",DAL,"0","0","0","0","0","0","0","0"
"193",12,"Rashard Higgins",FA,"0","0","0","0","0","0","0","0"
"194",12,"Miles Boykin",PIT,"3.1","3","2","11","0","0","0","0"
"195",12,"Dax Milne",WAS,"15.7","7","6","37","1","0","0","0"
"196",12,"Austin Watkins Jr.",CLE,"0","0","0","0","0","0","0","0"
"197",12,"Michael Bandy",DEN,"18.9","21","10","89","0","0","0","0"
"198",12,"David Sills V",NYG,"21.6","17","11","106","0","0","0","0"
"199",12,"Keith Kirkwood",NO,"3.8","4","2","18","0","0","0","0"
"200",12,"Breshad Perriman",IND,"23.3","19","9","110","1","2","-7","0"
"201",12,"Juwann Winfree",IND,"2.7","4","1","17","0","0","0","0"
"202",12,"Bryan Edwards",FA,"4.5","5","3","15","0","0","0","0"
"203",12,"River Cracraft",MIA,"31.2","14","9","102","2","0","0","0"
"204",12,"Tim Jones",JAC,"6","4","3","30","0","0","0","0"
"205",12,"Gunner Olszewski",PIT,"12.2","7","5","53","0","8","39","0"
"206",12,"Chris Conley",SF,"8.6","7","4","46","0","0","0","0"
"207",12,"Kendric Pryor",JAC,"0","0","0","0","0","0","0","0"
"208",13,"Rakim Jarrett",TB,"0","0","0","0","0","0","0","0"
"209",13,"Kaylon Geiger Sr.",TB,"0","0","0","0","0","0","0","0"
"210",13,"Grant DuBose",GB,"0","0","0","0","0","0","0","0"
"211",13,"Willie Snead IV",SF,"0","0","0","0","0","0","0","0"
"212",13,"Ihmir Smith-Marsette",KC,"0.4","4","1","15","0","1","-1","0"
"213",13,"Simi Fehoko",DAL,"5.4","4","3","24","0","0","0","0"
"214",13,"Mason Kinsey",TEN,"1.3","1","1","3","0","0","0","0"
"215",13,"Cade Johnson",SEA,"4.1","4","2","21","0","0","0","0"
"216",13,"Dezmon Patmon",BUF,"4.4","6","2","24","0","0","0","0"
"217",13,"Marcus Kemp",WAS,"0","0","0","0","0","0","0","0"
"218",13,"Joseph Ngata",PHI,"0","0","0","0","0","0","0","0"
"219",13,"Lil'Jordan Humphrey",DEN,"4","4","2","20","0","0","0","0"
"220",13,"Brandon Johnson",DEN,"14.2","14","6","42","1","0","0","0"
"221",13,"Blake Proehl",MIN,"0","0","0","0","0","0","0","0"
"222",13,"Antoine Green",DET,"0","0","0","0","0","0","0","0"
"223",13,"Tyrie Cleveland",PHI,"4.8","7","2","28","0","0","0","0"
"224",13,"Tom Kennedy",FA,"22.1","15","8","141","0","0","0","0"
"225",13,"Trent Taylor",CIN,"11.7","10","6","62","0","4","15","0"
"226",13,"T.Y. Hilton",FA,"19.1","10","7","121","0","0","0","0"
"227",14,"Josh Ali",ATL,"0","1","0","0","0","0","0","0"
"228",14,"Marcus Johnson",FA,"18.9","22","9","99","0","0","0","0"
"229",14,"Dennis Houston",DAL,"3.6","6","2","16","0","0","0","0"
"230",14,"Steven Sims Jr.",HOU,"31.4","23","14","104","0","13","70","0"
"231",14,"Jeff Smith",FA,"21.4","11","8","134","0","0","0","0"
"232",14,"Andre Baccellia",ARI,"11.5","10","7","45","0","0","0","0"
"233",14,"Jason Moore Jr.",DET,"1.5","2","1","5","0","0","0","0"
"234",14,"Michael Woods II",CLE,"9","10","5","45","0","1","-5","0"
"235",14,"Ronnie Bell",SF,"0","0","0","0","0","0","0","0"
"236",14,"Cody Hollister",FA,"8.4","5","3","54","0","0","0","0"
"237",14,"Trinity Benson",DET,"0","0","0","0","0","0","0","0"
"238",14,"Seth Williams",JAC,"0","0","0","0","0","0","0","0"
"239",14,"Greg Ward",PHI,"0","0","0","0","0","0","0","0"
"240",15,"Javon Wims",CAR,"0","0","0","0","0","0","0","0"
"241",15,"Malik Turner",FA,"0","0","0","0","0","0","0","0"
"242",15,"Keelan Cole Sr.",LV,"30.1","21","10","141","1","0","0","0"
"243",15,"Penny Hart",ATL,"5","4","3","20","0","0","0","0"
"244",15,"Dez Fitzpatrick",PIT,"0","0","0","0","0","0","0","0"
"245",15,"Kyric McGowan",WAS,"0","0","0","0","0","0","0","0"
"246",15,"Britain Covey",PHI,"0","0","0","0","0","0","0","0"
"247",15,"Cody Thompson",SEA,"0","0","0","0","0","0","0","0"
"248",15,"Colton Dowell",TEN,"0","0","0","0","0","0","0","0"
"249",15,"Jake Bobo",SEA,"0","0","0","0","0","0","0","0"
"250",15,"Nsimba Webster",CHI,"3.4","3","2","14","0","0","0","0"
"251",15,"Dylan Drummond",DET,"0","0","0","0","0","0","0","0"
"252",15,"DJ Turner",FA,"2.6","1","0","0","0","4","26","0"
"253",15,"Kirk Merritt",NO,"0","0","0","0","0","0","0","0"
"254",15,"Vyncint Smith",IND,"0","0","0","0","0","0","0","0"
"255",15,"Cody White",FA,"1.2","1","1","2","0","0","0","0"
"256",15,"Bo Melton",GB,"0","0","0","0","0","0","0","0"
"257",15,"Keelan Doss",LAC,"0","0","0","0","0","0","0","0"
"258",15,"Tanner Conner",MIA,"0","3","0","0","0","0","0","0"
"259",15,"Malik Heath",GB,"0","0","0","0","0","0","0","0"
"260",15,"Matthew Slater",NE,"0","0","0","0","0","0","0","0"
"261",15,"Jalen Virgil",DEN,"13.5","5","2","75","1","0","0","0"
"262",16,"Austin Trammell",LAR,"3.3","4","2","13","0","0","0","0"
"263",16,"Kawaan Baker",NO,"0","0","0","0","0","0","0","0"
"264",16,"Dontay Demus Jr.",BAL,"0","0","0","0","0","0","0","0"
"265",16,"KeeSean Johnson",BUF,"0","0","0","0","0","0","0","0"
"266",16,"Kevin Austin Jr.",JAC,"0","0","0","0","0","0","0","0"
"267",16,"Stanley Morgan Jr.",CIN,"0","1","0","0","0","0","0","0"
"268",16,"Lance McCutcheon",LAR,"0","5","0","0","0","0","0","0"
"269",16,"Daniel Arias",ARI,"0","0","0","0","0","0","0","0"
"270",16,"Malik Taylor",NYJ,"0","0","0","0","0","0","0","0"
"271",16,"Irvin Charles",NYJ,"0","0","0","0","0","0","0","0"
"272",16,"Raleigh Webb",NE,"0","0","0","0","0","0","0","0"
