POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
55,6,JOSH PALMER,LAC,68.7
56,6,BRANDIN COOKS,DAL,119.2
57,6,MIKE WILLIAMS,NYJ,31.2
58,6,KHALIL SHAKIR,BUF,74.1
59,6,GABRIEL DAVIS,JAC,116.4
60,6,JERRY JEUDY,CLE,87.8
61,6,JOSH DOWNS,IND,89.1
62,6,JAHAN DOTSON,WAS,75.8
63,6,DONTAYVION WICKS,GB,80.8
64,7,DARNELL MOONEY,ATL,47.9
65,7,ADONAI MITCHELL,IND,0
66,7,MICHAEL WILSON,ARI,76.5
67,7,DEMARIO DOUGLAS,NE,58.2
68,7,ADAM THIELEN,CAR,128
69,7,JALYNN POLK,NE,0
70,7,RASHOD BATEMAN,BAL,44.5
71,7,XAVIER LEGETTE,CAR,0
72,7,WANDALE ROBINSON,NYG,73.2
73,7,MARVIN MIMS,DEN,48.7
74,7,JERMAINE BURTON,CIN,0
75,7,DEMARCUS ROBINSON,LAR,61.4
76,7,RICKY PEARSALL,SF,0
77,7,QUENTIN JOHNSTON,LAC,56
78,7,JAVON BAKER,NE,0
79,7,DARIUS SLAYTON,NYG,101
80,7,ROMAN WILSON,PIT,0
81,7,TYLER BOYD,TEN,78.8
82,7,ELIJAH MOORE,CLE,73.1
83,7,JALIN HYATT,NYG,37.3
84,7,TROY FRANKLIN,DEN,0
85,8,MALACHI CORLEY,NYJ,0
86,8,JALEN MCMILLAN,TB,0
87,8,DJ CHARK,LAC,80.5
88,8,ZAY JONES,ARI,44.1
89,8,ODELL BECKHAM,MIA,72.5
90,8,KENDRICK BOURNE,NE,63
91,8,ANDREI IOSIVAS,CIN,35.6
92,8,TREYLON BURKS,TEN,23.9
93,8,AT PERRY,NO,48.6
94,8,ALEC PIERCE,IND,63.4
95,8,JOSH REYNOLDS,DEN,88.8
96,8,JONATHAN MINGO,CAR,41.8
97,8,DEVONTEZ WALKER,BAL,0
98,8,CEDRIC TILLMAN,CLE,23.2
99,8,KJ OSBORN,NE,72
100,8,TREY PALMER,TB,56.7
101,8,NOAH BROWN,HOU,68.6
102,8,LUKE MCCAFFREY,WAS,0
103,8,KADARIUS TONEY,KC,26
104,8,JALEN TOLBERT,DAL,36.8
105,8,GREG DORTCH,ARI,40.5
106,8,BRENDEN RICE,LAC,0
107,8,ROBERT WOODS,HOU,49.3
108,8,JACOB COWING,SF,0
109,8,TYLER SCOTT,CHI,18.9
110,9,CHATARIUS ATWELL,LAR,73.4
111,9,MICHAEL THOMAS,FA,50.8
112,9,MARQUEZ VALDES-SCANTLING,BUF,35.5
113,9,KALIF RAYMOND,DET,62.4
114,9,NELSON AGHOLOR,BAL,62.1
115,9,ALLEN LAZARD,NYJ,37.1
116,9,JAUAN JENNINGS,SF,32.5
117,9,MALIK WASHINGTON,MIA,0
118,9,BO MELTON,GB,29.9
119,9,VAN JEFFERSON,PIT,21.3
120,9,CALVIN AUSTIN,PIT,35.7
121,9,TRE TUCKER,LV,52.8
122,9,DONOVAN PEOPLES-JONES,DET,15.5
123,9,TIM PATRICK,DEN,0
124,9,SKYY MOORE,KC,32.7
125,9,JOHN METCHIE,HOU,16.2
126,9,XAVIER GIPSON,NYJ,37.7
127,9,JOHNNY WILSON,PHI,0
128,10,PARRIS CAMPBELL,PHI,10.4
129,10,JUJU SMITH-SCHUSTER,FA,32
130,10,BRANDON POWELL,MIN,38.1
131,10,JUSTIN WATSON,KC,62
132,10,CEDRICK WILSON,NO,47.6
133,10,PARKER WASHINGTON,JAC,23.2
134,10,MACK HOLLINS,BUF,25.1
135,10,TRENTON IRWIN,CIN,37.6
136,10,AINIAS SMITH,PHI,0
137,10,HUNTER RENFROW,FA,23.5
138,10,JORDAN WHITTINGTON,LAR,0
139,10,KAVONTAE TURPIN,DAL,47.7
140,10,RAY RAY MCCLOUD,ATL,16.5
141,10,NICK WESTBROOK,TEN,57
142,10,JALEN NAILOR,MIN,2.9
143,10,QUEZ WATKINS,PIT,20.2
144,10,CHARLIE JONES,CIN,13.7
145,10,XAVIER HUTCHINSON,HOU,13.9
146,10,JAKE BOBO,SEA,37.9
147,10,MECOLE HARDMAN,KC,10.7
148,10,BRAXTON BERRIOS,MIA,30.9
149,10,ISAIAH MCKENZIE,NYG,5.6
150,10,DYAMI BROWN,WAS,23
151,10,TYQUAN THORNTON,NE,14.2
152,10,JAMARI THRASH,CLE,0
153,10,ISAIAH HODGINS,NYG,39
154,10,CHRIS MOORE,ARI,46.3
155,10,DAVID BELL,CLE,34.7
156,10,TERRACE MARSHALL,CAR,13.9
157,10,JAMISON CROWDER,WAS,19.9
158,10,JUSTYN ROSS,KC,5.3
159,10,RYAN FLOURNOY,DAL,0
160,10,TRENT SHERFIELD,MIN,14.6
161,10,JERROD MEANS,NO,0
162,10,OLAMIDE ZACCHEAUS,WAS,28.4
163,11,DERIUS DAVIS,LAC,20.7
164,11,JALEN GUYTON,LV,14.9
165,11,KYLE PHILIPS,TEN,16.1
166,11,ANTHONY GOULD,IND,0
167,11,JALEN BROOKS,DAL,6.4
168,11,DEVIN DUVERNAY,JAC,3.3
169,11,LAVISKA SHENAULT,SEA,11.5
170,11,JASON BROWNLEE,NYJ,11.6
171,11,JHAQUAN JACKSON,TEN,0
172,11,DEONTE HARTY,BAL,25
173,11,CASEY WASHINGTON,ATL,0
174,11,ALLEN ROBINSON,NYG,28
175,11,KHADAREL HODGE,ATL,23.2
176,11,MALIK HEATH,GB,18.5
177,11,CORNELIUS JOHNSON,LAC,0
178,11,KAYSHON BOUTTE,NE,1.9
179,11,SCOTT MILLER,PIT,28.1
180,11,EQUANIMEOUS ST BROWN,NO,6.2
181,11,LILJORDAN HUMPHREY,DEN,34.2
182,11,EMEKA EMEZIE,FA,0
183,11,TAHJ WASHINGTON,MIA,0
184,11,STERLING SHEPARD,TB,10.3
185,11,BRANDON JOHNSON,DEN,54.4
186,11,SAMORI TOURE,GB,7.8
187,11,RAKIM JARRETT,TB,6
188,11,ZACH PASCAL,ARI,1.9
189,11,RONNIE BELL,SF,24.8
190,11,JALEN REAGOR,NE,21.5
191,11,TYRELL SHAVERS,BUF,0
192,11,RIVER CRACRAFT,MIA,18.1
193,11,TREQUAN SMITH,DET,0
194,11,RICHIE JAMES,FA,9.4
195,11,BEN SKOWRONEK,HOU,13.5
196,11,VELUS JONES,CHI,7.1
197,11,KJ HAMLER,BUF,0
198,11,JOSEPH PARKER,FA,0
199,11,BRITAIN COVEY,PHI,4.2
200,11,SIMI FEHOKO,LAC,6.9
201,11,IHMIR SMITH-MARSETTE,CAR,24.5
202,12,DELEON ESKRIDGE,SEA,0.5
203,12,BYRON PRINGLE,WAS,14.1
204,12,TIM JONES,JAC,8.3
205,12,DAURICE FOUNTAIN,DET,0
206,12,ERIK EZUKANMA,MIA,2.2
207,12,MARCUS ROSEMY-JACKSAINT,WAS,0
208,12,ELIJAH COOKS,JAC,3.8
209,12,MASON TIPTON,NO,0
210,12,KEITH KIRKWOOD,BAL,9.7
211,12,DJ MONTGOMERY,IND,11.6
212,12,JAMAL AGNEW,FA,26.3
213,12,DEANDRE CARTER,CHI,5.7
214,12,GRANT DUBOSE,GB,0
215,12,ISAIAH WILLIAMS,FA,0
216,12,JOSH CROCKETT,FA,0
217,12,DAVID MOORE,CAR,15.4
218,12,DEVAUGHN VELE,DEN,0
219,12,DANTE PETTIS,CHI,0
220,12,DEVEN THOMPKINS,FA,17.9
221,12,JAMAR BRYANT,WAS,0
222,12,JR RUSSELL,BAL,0
223,12,ROBBIE CHOSEN,SF,18.6
224,12,LYNN BOWDEN,FA,11.5
225,12,JALEN CROPPER,DAL,0
226,12,CODY THOMPSON,TB,1
227,12,KWAMIE LASSITER,CIN,0.2
228,12,COLLIN JOHNSON,CHI,1.1
229,12,JALEN COKER,CAR,0
230,12,JULIO JONES,FA,25.4
231,12,DAX MILNE,LV,0
232,12,TRISHTON JACKSON,MIN,2.9
233,12,JUSTIN SHORTER,BUF,0
234,12,NIKKO REMIGIO,KC,0
235,12,MILES BOYKIN,NYG,1.7
236,12,TYLAN WALLACE,BAL,7.1
237,12,TRENT TAYLOR,SF,-2.2
238,12,JUWANN WINFREE,IND,0
239,12,ASHTON DULIN,IND,0
240,12,RANDALL COBB,FA,11.9
241,12,MIKE STRACHAN,CAR,4.5
242,12,MALIK TAYLOR,NYJ,1.3
243,12,STEVEN SIMS,HOU,2.6
244,12,PHILLIP DORSETT,DEN,0
245,12,MARVIN JONES,FA,1.5
246,12,WILLIE SNEAD,MIA,1.4
247,13,ALEX ERICKSON,FA,29.2
248,13,DAREKE YOUNG,SEA,0
249,13,AUSTIN TRAMMELL,JAC,0.9
250,13,MASON KINSEY,TEN,0.6
251,13,SHEDRICK JACKSON,CIN,0
252,13,MARQUISE GOODWIN,FA,10
253,13,QUINTEZ CEPHUS,HOU,0
254,13,ANTOINE GREEN,FA,0.2
255,13,KEELAN DOSS,FA,3.3
256,13,STANLEY MORGAN,NO,0
257,13,ISAIAH WILLIAMS,DET,0
258,13,JOSH ALI,ATL,0
259,13,COLTON DOWELL,TEN,0.3
260,13,NKEAL HARRY,MIN,0
261,13,XAVIER WEAVER,ARI,0
262,13,GUNNER OLSZEWSKI,NYG,2
263,13,LAQUON TREADWELL,IND,1.6
264,13,JAMES PROCHE,CLE,-2
265,13,ANTHONY SCHWARTZ,MIA,0
266,13,LANCE MCCUTCHEON,NYJ,0
267,13,DENZEL MIMS,JAC,0
268,13,DANIEL ARIAS,ARI,0
269,13,ANTHONY MILLER,BAL,0
270,13,CHRIS CONLEY,SF,6.9
271,13,IRVIN CHARLES,NYJ,0
272,14,DANNY GRAY,SF,0
273,14,ANDY ISABELLA,BUF,0
274,14,CHRIS BLAIR,ATL,0
275,14,DAMIERE BYRD,BUF,0
