POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
96,8,CAM AKERS,MIN,35.7
97,8,DALVIN COOK,FA,25.2
98,9,SALVON AHMED,MIA,26.9
99,9,JOSHUA KELLEY,FA,53.7
100,9,MATT BREIDA,FA,29.9
101,9,RASHEEN ALI,BAL,0
102,9,ROYCE FREEMAN,DAL,45.2
103,9,CRAIG REYNOLDS,DET,24.6
104,9,KEAONTAY INGRAM,KC,10
105,9,JAWHAR JORDAN,HOU,0
106,9,TY JOHNSON,BUF,25.4
107,9,LATAVIUS MURRAY,FA,65.9
108,9,ISAIAH DAVIS,NYJ,0
109,9,JASE MCCLELLAN,ATL,0
110,9,KEVIN HARRIS,NE,18.3
111,9,KENNY MCINTOSH,SEA,0
112,9,SEAN TUCKER,TB,3.2
113,9,TRAYVEON WILLIAMS,CIN,7.9
114,9,BLAKE WATSON,DEN,0
115,9,FRANK GORE,BUF,0
116,9,AMEER ABDULLAH,LV,22
117,10,CODY SCHRADER,SF,0
118,10,MALIK DAVIS,DAL,0
119,10,DEEJAY DALLAS,ARI,2.2
120,10,NYHEIM HINES,CLE,0
121,10,ZACH EVANS,LAR,1.9
122,10,KYLE JUSZCZYK,SF,24.5
123,10,KENDALL MILTON,PHI,0
124,10,RAHEEM BLACKSHEAR,CAR,11.1
125,10,DAIJUN EDWARDS,PIT,0
126,10,DILLON JOHNSON,TEN,0
127,10,CHRIS EVANS,CIN,1.1
128,10,KENE NWANGWU,MIN,1.3
129,10,KEILAN ROBINSON,JAC,0
130,10,EMANUEL WILSON,GB,10.8
131,10,BOSTON SCOTT,LAR,11.8
132,10,CHRISTOPHER BROOKS,MIA,10.6
133,10,MICHAEL WILEY,WAS,0
134,10,JAMES ROBINSON,NO,0
135,10,EMANI BAILEY,KC,0
136,10,TYLER GOODSON,IND,12.1
137,10,LEONARD FOURNETTE,FA,4
138,10,PATRICK TAYLOR,SF,19
139,10,HASSAN HASKINS,TEN,0
140,10,DENERIC PRINCE,KC,0
141,10,DARE OGUNBOWALE,HOU,8.3
142,10,DAIJUN EDWARDS,FA,0
143,10,LAMICAL PERINE,PIT,11
144,10,MIKE BOONE,CAR,6.3
145,10,JULIUS CHESTNUT,TEN,0
146,10,GARY BRIGHTWELL,FA,6.6
147,10,DEWAYNE MCBRIDE,MIN,0
148,10,JAMYCAL HASTY,NE,0
149,10,DEON JACKSON,FA,-1
150,10,ZONOVAN KNIGHT,DET,2.1
151,10,KESHAWN VAUGHN,FA,4.4
152,11,MYLES GASKIN,MIN,0
153,11,HUNTER LUEPKE,DAL,9.7
154,11,DARRELL HENDERSON,FA,33.5
155,11,TYRION DAVIS-PRICE,PHI,2.1
156,11,AVERY WILLIAMS,ATL,0
157,11,ALEC INGOLD,MIA,11.9
158,11,PATRICK RICARD,BAL,11.2
159,11,DARRYNTON EVANS,BUF,23
160,11,TRAVIS HOMER,CHI,0
161,11,TONY JONES,ARI,25.2
162,11,BRANDON BOLDEN,FA,11.1
163,11,MELVIN GORDON,FA,16.7
164,11,KENYAN DRAKE,FA,1.1
165,11,CJ HAM,MIN,3.2
166,11,ELIJAH DOTSON,LAC,1.9
167,11,REGGIE GILLIAM,BUF,0.3
